city_id,city_name,county,state,postal_code,,,,,,,,,,,
112,Bonney Lake,Pierce,WA,98391,,,,,,,,,,,
113,Kent,King,WA,98031,,,,,,,,,,,
114,Bothell,King,WA,98011,,,,,,,,,,,
115,Bothell,Snohomish,WA,98012,,,,,,,,,,,
116,Everett,Snohomish,WA,98203,,,,,,,,,,,
117,Everett,Snohomish,WA,98203,,,,,,,,,,,
118,Auburn,King,WA,98001,,,,,,,,,,,
119,Seattle,King,WA,98144,,,,,,,,,,,
120,Shoreline,King,WA,98155,,,,,,,,,,,
121,Seattle,King,WA,98104,,,,,,,,,,,
122,Washougal,Clark,WA,98671,,,,,,,,,,,
123,Seattle,King,WA,98117,,,,,,,,,,,
124,Camano Island,Island,WA,98282,,,,,,,,,,,
125,Camano Island,Island,WA,98282,,,,,,,,,,,
126,Seattle,King,WA,98116,,,,,,,,,,,
127,University Place,Pierce,WA,98466,,,,,,,,,,,
128,Vancouver,Clark,WA,98682,,,,,,,,,,,
129,Port Orchard,Kitsap,WA,98366,,,,,,,,,,,
130,Lacey,Thurston,WA,98516,,,,,,,,,,,
131,Olympia,Thurston,WA,98513,,,,,,,,,,,
132,Belfair,Mason,WA,98528,,,,,,,,,,,
133,Chehalis,Lewis,WA,98532,,,,,,,,,,,
134,Shelton,Mason,WA,98584,,,,,,,,,,,
135,Port Angeles,Clallam,WA,98362,,,,,,,,,,,
136,Pasco,Franklin,WA,99301,,,,,,,,,,,
137,Richland,Benton,WA,99352,,,,,,,,,,,
138,Seattle,King,WA,98126,,,,,,,,,,,
139,Issaquah,King,WA,98029,,,,,,,,,,,
140,Sammamish,King,WA,98074,,,,,,,,,,,
141,Sammamish,King,WA,98074,,,,,,,,,,,
142,Issaquah,King,WA,98027,,,,,,,,,,,
143,Sammamish,King,WA,98075,,,,,,,,,,,
144,Sammamish,King,WA,98075,,,,,,,,,,,
145,Bellevue,King,WA,98006,,,,,,,,,,,
146,Snohomish,Snohomish,WA,98296,,,,,,,,,,,
147,Bothell,Snohomish,WA,98021,,,,,,,,,,,
148,Everett,Snohomish,WA,98208,,,,,,,,,,,
149,Bellevue,King,WA,98004,,,,,,,,,,,
150,Mukilteo,Snohomish,WA,98275,,,,,,,,,,,
151,Seattle,King,WA,98122,,,,,,,,,,,
152,Mount Vernon,Skagit,WA,98274,,,,,,,,,,,
153,Seattle,King,WA,98103,,,,,,,,,,,
154,Seattle,King,WA,98103,,,,,,,,,,,
155,Clinton,Island,WA,98236,,,,,,,,,,,
156,Seattle,King,WA,98177,,,,,,,,,,,
157,Stanwood,Snohomish,WA,98292,,,,,,,,,,,
158,Camano Island,Island,WA,98282,,,,,,,,,,,
159,Bellingham,Whatcom,WA,98225,,,,,,,,,,,
160,Tacoma,Pierce,WA,98406,,,,,,,,,,,
161,Bainbridge Island,Kitsap,WA,98110,,,,,,,,,,,
162,Vancouver,Clark,WA,98684,,,,,,,,,,,
163,Joint Base Lewis Mcchord,Pierce,WA,98433,,,,,,,,,,,
164,Gig Harbor,Pierce,WA,98335,,,,,,,,,,,
165,Vancouver,Clark,WA,98686,,,,,,,,,,,
166,Olympia,Thurston,WA,98513,,,,,,,,,,,
167,Seabeck,Kitsap,WA,98380,,,,,,,,,,,
168,Olympia,Thurston,WA,98501,,,,,,,,,,,
169,Olympia,Thurston,WA,98502,,,,,,,,,,,
170,Centralia,Lewis,WA,98531,,,,,,,,,,,
171,Sequim,Clallam,WA,98382,,,,,,,,,,,
172,Spokane,Spokane,WA,99203,,,,,,,,,,,
173,Spokane,Spokane,WA,99205,,,,,,,,,,,
174,Granite Falls,Snohomish,WA,98252,,,,,,,,,,,
175,Sammamish,King,WA,98074,,,,,,,,,,,
176,Kent,King,WA,98042,,,,,,,,,,,
177,Woodinville,King,WA,98072,,,,,,,,,,,
178,Marysville,Snohomish,WA,98270,,,,,,,,,,,
179,Bothell,Snohomish,WA,98012,,,,,,,,,,,
180,Seattle,King,WA,98112,,,,,,,,,,,
181,Seattle,King,WA,98122,,,,,,,,,,,
182,Lake Forest Park,King,WA,98155,,,,,,,,,,,
183,Federal Way,King,WA,98003,,,,,,,,,,,
184,Seattle,King,WA,98101,,,,,,,,,,,
185,Seattle,King,WA,98199,,,,,,,,,,,
186,Bellingham,Whatcom,WA,98226,,,,,,,,,,,
187,Bainbridge Island,Kitsap,WA,98110,,,,,,,,,,,
188,Bainbridge Island,Kitsap,WA,98110,,,,,,,,,,,
189,Bremerton,Kitsap,WA,98310,,,,,,,,,,,
190,Oak Harbor,Island,WA,98277,,,,,,,,,,,
191,Vancouver,Clark,WA,98685,,,,,,,,,,,
192,Ridgefield,Clark,WA,98642,,,,,,,,,,,
193,Port Hadlock,Jefferson,WA,98339,,,,,,,,,,,
194,Shelton,Mason,WA,98584,,,,,,,,,,,
195,Colbert,Spokane,WA,99005,,,,,,,,,,,
196,Cheney,Spokane,WA,99004,,,,,,,,,,,
197,Kennewick,Benton,WA,99337,,,,,,,,,,,
198,Moses Lake,Grant,WA,98837,,,,,,,,,,,
199,Ronald,Kittitas,WA,98940,,,,,,,,,,,
200,Carnation,King,WA,98014,,,,,,,,,,,
201,Lake Stevens,Snohomish,WA,98258,,,,,,,,,,,
202,Bellevue,King,WA,98006,,,,,,,,,,,
203,Snohomish,Snohomish,WA,98296,,,,,,,,,,,
204,Bonney Lake,Pierce,WA,98391,,,,,,,,,,,
205,Everett,Snohomish,WA,98208,,,,,,,,,,,
206,Seattle,King,WA,98178,,,,,,,,,,,
207,South Hill,Pierce,WA,98375,,,,,,,,,,,
208,Seattle,King,WA,98125,,,,,,,,,,,
209,Seattle,King,WA,98144,,,,,,,,,,,
210,Seattle,King,WA,98144,,,,,,,,,,,
211,Lake Forest Park,King,WA,98155,,,,,,,,,,,
212,Lake Forest Park,King,WA,98155,,,,,,,,,,,
213,Edmonds,Snohomish,WA,98026,,,,,,,,,,,
214,Tacoma,Pierce,WA,98443,,,,,,,,,,,
215,Spanaway,Pierce,WA,98387,,,,,,,,,,,
216,Seattle,King,WA,98116,,,,,,,,,,,
217,Vancouver,Clark,WA,98682,,,,,,,,,,,
218,Vancouver,Clark,WA,98682,,,,,,,,,,,
219,Greenbank,Island,WA,98253,,,,,,,,,,,
220,Vancouver,Clark,WA,98662,,,,,,,,,,,
221,Vancouver,Clark,WA,98685,,,,,,,,,,,
222,Olympia,Thurston,WA,98506,,,,,,,,,,,
223,Curtis,Lewis,WA,98538,,,,,,,,,,,
224,Smith Creek,Pacific,WA,98577,,,,,,,,,,,
225,Spokane,Spokane,WA,99223,,,,,,,,,,,
226,Spokane,Spokane,WA,99224,,,,,,,,,,,
227,Monroe,Snohomish,WA,98272,,,,,,,,,,,
228,Buckley,Pierce,WA,98321,,,,,,,,,,,
229,Bellevue,King,WA,98004,,,,,,,,,,,
230,Bellevue,King,WA,98004,,,,,,,,,,,
231,Everett,Snohomish,WA,98201,,,,,,,,,,,
232,Bothell,Snohomish,WA,98012,,,,,,,,,,,
233,Mill Creek,Snohomish,WA,98012,,,,,,,,,,,
234,Seattle,King,WA,98118,,,,,,,,,,,
235,South Hill,Pierce,WA,98374,,,,,,,,,,,
236,Tukwila,King,WA,98168,,,,,,,,,,,
237,Seattle,King,WA,98136,,,,,,,,,,,
238,Camas,Clark,WA,98607,,,,,,,,,,,
239,Camas,Clark,WA,98607,,,,,,,,,,,
240,Seattle,King,WA,98116,,,,,,,,,,,
241,Joint Base Lewis Mcchord,Pierce,WA,98433,,,,,,,,,,,
242,Vancouver,Clark,WA,98665,,,,,,,,,,,
243,Bremerton,Kitsap,WA,98312,,,,,,,,,,,
244,Vancouver,Clark,WA,98660,,,,,,,,,,,
245,Blaine,Whatcom,WA,98230,,,,,,,,,,,
246,Olympia,Thurston,WA,98513,,,,,,,,,,,
247,Chehalis,Lewis,WA,98532,,,,,,,,,,,
248,Sequim,Clallam,WA,98382,,,,,,,,,,,
249,Richland,Benton,WA,99352,,,,,,,,,,,
250,Yakima,Yakima,WA,98908,,,,,,,,,,,
251,Snoqualmie,King,WA,98065,,,,,,,,,,,
252,Black Diamond,King,WA,98010,,,,,,,,,,,
253,Redmond,King,WA,98053,,,,,,,,,,,
254,Snohomish,Snohomish,WA,98290,,,,,,,,,,,
255,Redmond,King,WA,98052,,,,,,,,,,,
256,Woodinville,King,WA,98072,,,,,,,,,,,
257,Renton,King,WA,98059,,,,,,,,,,,
258,Marysville,Snohomish,WA,98270,,,,,,,,,,,
259,Renton,King,WA,98056,,,,,,,,,,,
260,Bothell,King,WA,98011,,,,,,,,,,,
261,Kirkland,King,WA,98033,,,,,,,,,,,
262,Kirkland,King,WA,98033,,,,,,,,,,,
263,Kenmore,King,WA,98028,,,,,,,,,,,
264,Seattle,King,WA,98118,,,,,,,,,,,
265,Mukilteo,Snohomish,WA,98275,,,,,,,,,,,
266,Seattle,King,WA,98105,,,,,,,,,,,
267,Federal Way,King,WA,98003,,,,,,,,,,,
268,Seattle,King,WA,98116,,,,,,,,,,,
269,Tacoma,Pierce,WA,98422,,,,,,,,,,,
270,Bellingham,Whatcom,WA,98229,,,,,,,,,,,
271,Kingston,Kitsap,WA,98346,,,,,,,,,,,
272,Bainbridge Island,Kitsap,WA,98110,,,,,,,,,,,
273,University Place,Pierce,WA,98467,,,,,,,,,,,
274,Yelm,Thurston,WA,98597,,,,,,,,,,,
275,Bremerton,Kitsap,WA,98311,,,,,,,,,,,
276,Poulsbo,Kitsap,WA,98370,,,,,,,,,,,
277,Bremerton,Kitsap,WA,98312,,,,,,,,,,,
278,Port Ludlow,Jefferson,WA,98365,,,,,,,,,,,
279,Vancouver,Clark,WA,98685,,,,,,,,,,,
280,Ridgefield,Clark,WA,98642,,,,,,,,,,,
281,Port Townsend,Jefferson,WA,98368,,,,,,,,,,,
282,Lacey,Thurston,WA,98513,,,,,,,,,,,
283,Olympia,Thurston,WA,98502,,,,,,,,,,,
284,Sunnyside,Yakima,WA,98944,,,,,,,,,,,
285,Monroe,Snohomish,WA,98272,,,,,,,,,,,
286,Lake Stevens,Snohomish,WA,98258,,,,,,,,,,,
287,Kent,King,WA,98042,,,,,,,,,,,
288,Bellevue,King,WA,98008,,,,,,,,,,,
289,Renton,King,WA,98056,,,,,,,,,,,
290,Bellevue,King,WA,98004,,,,,,,,,,,
291,Orting,Pierce,WA,98360,,,,,,,,,,,
292,Kirkland,King,WA,98033,,,,,,,,,,,
293,Bothell,Snohomish,WA,98012,,,,,,,,,,,
294,Puyallup,Pierce,WA,98374,,,,,,,,,,,
295,Lynnwood,Snohomish,WA,98036,,,,,,,,,,,
296,Seattle,King,WA,98105,,,,,,,,,,,
297,Washougal,Clark,WA,98671,,,,,,,,,,,
298,Seattle,King,WA,98119,,,,,,,,,,,
299,Seattle,King,WA,98107,,,,,,,,,,,
300,Camas,Clark,WA,98607,,,,,,,,,,,
301,Tacoma,Pierce,WA,98422,,,,,,,,,,,
302,Bellingham,Whatcom,WA,98226,,,,,,,,,,,
303,Bainbridge Island,Kitsap,WA,98110,,,,,,,,,,,
304,Vancouver,Clark,WA,98662,,,,,,,,,,,
305,Bremerton,Kitsap,WA,98312,,,,,,,,,,,
306,Lacey,Thurston,WA,98513,,,,,,,,,,,
307,Aberdeen,Grays Harbor,WA,98520,,,,,,,,,,,
308,Spokane,Spokane,WA,99204,,,,,,,,,,,
309,Spokane,Spokane,WA,99208,,,,,,,,,,,
310,Spokane,Spokane,WA,99205,,,,,,,,,,,
311,Ritzville,Adams,WA,99169,,,,,,,,,,,
312,Maple Valley,King,WA,98038,,,,,,,,,,,
313,Covington,King,WA,98042,,,,,,,,,,,
314,Snohomish,Snohomish,WA,98290,,,,,,,,,,,
315,Bellevue,King,WA,98007,,,,,,,,,,,
